
# Surface 0 of 1 surfaces

# Curve title: "(y*(1+1/(x**2 + y**2)))"

# Contour 0, label:      2.2
-0.12121 0.04595 2.20000 
-0.18659 0.08148 2.20000 
-0.20202 0.12323 2.20000 
-0.23672 0.16296 2.20000 
-0.25836 0.24444 2.20000 
-0.26137 0.32593 2.20000 
-0.24774 0.40741 2.20000 
-0.21558 0.48889 2.20000 
-0.20202 0.51610 2.20000 
-0.15353 0.57037 2.20000 
-0.12121 0.60482 2.20000 
-0.04040 0.63981 2.20000 
0.04040 0.63981 2.20000 
0.12121 0.60482 2.20000 
0.15353 0.57037 2.20000 
0.20202 0.51610 2.20000 
0.21558 0.48889 2.20000 
0.24774 0.40741 2.20000 
0.26137 0.32593 2.20000 
0.25836 0.24444 2.20000 
0.23672 0.16296 2.20000 
0.20202 0.12323 2.20000 
0.18659 0.08148 2.20000 
0.12121 0.04595 2.20000 
0.04040 0.01805 2.20000 
-0.04040 0.01805 2.20000 
-0.12121 0.04595 2.20000 

2.94949 2.04135 2.20000 
3.03030 2.04695 2.20000 
3.11111 2.05228 2.20000 
3.19192 2.05736 2.20000 
3.27273 2.06221 2.20000 
3.35354 2.06684 2.20000 
3.43434 2.07125 2.20000 
3.51515 2.07548 2.20000 
3.59596 2.07951 2.20000 
3.67677 2.08337 2.20000 
3.75758 2.08705 2.20000 
3.83838 2.09058 2.20000 
3.91919 2.09396 2.20000 
4.00000 2.09720 2.20000 

-4.00000 2.09720 2.20000 
-3.91919 2.09396 2.20000 
-3.83838 2.09058 2.20000 
-3.75758 2.08705 2.20000 
-3.67677 2.08337 2.20000 
-3.59596 2.07951 2.20000 
-3.51515 2.07548 2.20000 
-3.43434 2.07125 2.20000 
-3.35354 2.06684 2.20000 
-3.27273 2.06221 2.20000 
-3.19192 2.05736 2.20000 
-3.11111 2.05228 2.20000 
-3.03030 2.04695 2.20000 
-2.94949 2.04135 2.20000 
-2.89008 2.03704 2.20000 
-2.86869 2.03549 2.20000 
-2.78788 2.02934 2.20000 
-2.70707 2.02289 2.20000 
-2.62626 2.01611 2.20000 
-2.54545 2.00899 2.20000 
-2.46465 2.00149 2.20000 
-2.38384 1.99361 2.20000 
-2.30303 1.98531 2.20000 
-2.22222 1.97657 2.20000 
-2.14141 1.96737 2.20000 
-2.06061 1.95768 2.20000 
-2.04377 1.95556 2.20000 
-1.97980 1.94750 2.20000 
-1.89899 1.93679 2.20000 
-1.81818 1.92551 2.20000 
-1.73737 1.91360 2.20000 
-1.65657 1.90106 2.20000 
-1.57576 1.88783 2.20000 
-1.49596 1.87407 2.20000 
-1.49495 1.87390 2.20000 
-1.41414 1.85930 2.20000 
-1.33333 1.84392 2.20000 
-1.25253 1.82774 2.20000 
-1.17172 1.81075 2.20000 
-1.09091 1.79295 2.20000 
-1.08932 1.79259 2.20000 
-1.01010 1.77436 2.20000 
-0.92929 1.75495 2.20000 
-0.84848 1.73480 2.20000 
-0.76768 1.71405 2.20000 
-0.75617 1.71111 2.20000 
-0.68687 1.69267 2.20000 
-0.60606 1.67097 2.20000 
-0.52525 1.64940 2.20000 
-0.44859 1.62963 2.20000 
-0.44444 1.62849 2.20000 
-0.36364 1.60820 2.20000 
-0.28283 1.59003 2.20000 
-0.20202 1.57503 2.20000 
-0.12121 1.56429 2.20000 
-0.04040 1.55867 2.20000 
0.04040 1.55867 2.20000 
0.12121 1.56429 2.20000 
0.20202 1.57503 2.20000 
