
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:     -1.9
0.10869 -1.02130 -1.90000 
0.10311 -1.03383 -1.90000 
0.09758 -1.04637 -1.90000 
0.09204 -1.05890 -1.90000 
0.09091 -1.06128 -1.90000 
0.08481 -1.07143 -1.90000 
0.07757 -1.08396 -1.90000 
0.07077 -1.09649 -1.90000 
0.06440 -1.10902 -1.90000 
0.05844 -1.12155 -1.90000 
0.05284 -1.13409 -1.90000 
0.04755 -1.14662 -1.90000 
0.04244 -1.15915 -1.90000 
0.03733 -1.17168 -1.90000 
0.03184 -1.18421 -1.90000 
0.03030 -1.18684 -1.90000 
-0.03030 -1.18684 -1.90000 

0.40310 0.14411 -1.90000 
0.40428 0.13158 -1.90000 
0.40536 0.11905 -1.90000 
0.40633 0.10652 -1.90000 
0.40719 0.09398 -1.90000 
0.40795 0.08145 -1.90000 
0.40860 0.06892 -1.90000 
0.40914 0.05639 -1.90000 
0.40958 0.04386 -1.90000 
0.40991 0.03133 -1.90000 
0.41012 0.01880 -1.90000 
0.41023 0.00627 -1.90000 
0.41023 -0.00627 -1.90000 
0.41012 -0.01880 -1.90000 
0.40991 -0.03133 -1.90000 
0.40958 -0.04386 -1.90000 
0.40914 -0.05639 -1.90000 
0.40860 -0.06892 -1.90000 
0.40795 -0.08145 -1.90000 
0.40719 -0.09398 -1.90000 
0.40633 -0.10652 -1.90000 
0.40536 -0.11905 -1.90000 
0.40428 -0.13158 -1.90000 
0.40310 -0.14411 -1.90000 
0.40182 -0.15664 -1.90000 
0.40044 -0.16917 -1.90000 
0.39895 -0.18170 -1.90000 
0.39737 -0.19424 -1.90000 
0.39569 -0.20677 -1.90000 
0.39394 -0.21907 -1.90000 
0.39390 -0.21930 -1.90000 
0.39182 -0.23183 -1.90000 
0.38964 -0.24436 -1.90000 
0.38736 -0.25689 -1.90000 
0.38498 -0.26942 -1.90000 
0.38251 -0.28195 -1.90000 
0.37994 -0.29449 -1.90000 
0.37729 -0.30702 -1.90000 
0.37455 -0.31955 -1.90000 
0.37172 -0.33208 -1.90000 
0.36881 -0.34461 -1.90000 
0.36583 -0.35714 -1.90000 
0.36276 -0.36967 -1.90000 
0.35961 -0.38221 -1.90000 
0.35640 -0.39474 -1.90000 
0.35311 -0.40727 -1.90000 
0.34975 -0.41980 -1.90000 
0.34632 -0.43233 -1.90000 
0.34283 -0.44486 -1.90000 
0.33927 -0.45739 -1.90000 
0.33565 -0.46992 -1.90000 
0.33333 -0.47777 -1.90000 
0.33181 -0.48246 -1.90000 
0.32765 -0.49499 -1.90000 
0.32345 -0.50752 -1.90000 
0.31920 -0.52005 -1.90000 
0.31491 -0.53258 -1.90000 
0.31058 -0.54511 -1.90000 
0.30622 -0.55764 -1.90000 
0.30182 -0.57018 -1.90000 
0.29739 -0.58271 -1.90000 
0.29292 -0.59524 -1.90000 
0.28843 -0.60777 -1.90000 
0.28390 -0.62030 -1.90000 
0.27934 -0.63283 -1.90000 
0.27476 -0.64536 -1.90000 
0.27273 -0.65080 -1.90000 
0.26981 -0.65789 -1.90000 
0.26461 -0.67043 -1.90000 
0.25942 -0.68296 -1.90000 
0.25423 -0.69549 -1.90000 
0.24905 -0.70802 -1.90000 
0.24388 -0.72055 -1.90000 
0.23872 -0.73308 -1.90000 
0.23357 -0.74561 -1.90000 
0.22843 -0.75815 -1.90000 
0.22328 -0.77068 -1.90000 
0.21814 -0.78321 -1.90000 
