
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:     -1.3
1.12121 -0.09646 -1.30000 
1.10529 -0.10526 -1.30000 
1.09037 -0.11529 -1.30000 
1.07779 -0.12531 -1.30000 
1.06683 -0.13534 -1.30000 
1.06061 -0.14159 -1.30000 
1.05404 -0.14536 -1.30000 
1.03830 -0.15539 -1.30000 
1.02450 -0.16541 -1.30000 
1.01217 -0.17544 -1.30000 
1.00098 -0.18546 -1.30000 
1.00000 -0.18639 -1.30000 
0.98536 -0.19549 -1.30000 
0.97078 -0.20551 -1.30000 
0.95752 -0.21554 -1.30000 
0.94533 -0.22556 -1.30000 
0.93939 -0.23073 -1.30000 
0.93156 -0.23559 -1.30000 
0.91642 -0.24561 -1.30000 
0.90246 -0.25564 -1.30000 
0.88947 -0.26566 -1.30000 
0.87879 -0.27444 -1.30000 
0.87677 -0.27569 -1.30000 
0.86117 -0.28571 -1.30000 
0.84663 -0.29574 -1.30000 
0.83300 -0.30576 -1.30000 
0.82014 -0.31579 -1.30000 
0.81818 -0.31736 -1.30000 
0.80476 -0.32581 -1.30000 
0.78971 -0.33584 -1.30000 
0.77550 -0.34586 -1.30000 
0.76201 -0.35589 -1.30000 
0.75758 -0.35930 -1.30000 
0.74686 -0.36591 -1.30000 
0.73133 -0.37594 -1.30000 
0.71657 -0.38596 -1.30000 
0.70250 -0.39599 -1.30000 
0.69697 -0.40005 -1.30000 
0.68708 -0.40602 -1.30000 
0.67106 -0.41604 -1.30000 
0.65576 -0.42607 -1.30000 
0.64110 -0.43609 -1.30000 
0.63636 -0.43942 -1.30000 
0.62492 -0.44612 -1.30000 
0.60839 -0.45614 -1.30000 
0.59252 -0.46617 -1.30000 
0.57725 -0.47619 -1.30000 
0.57576 -0.47719 -1.30000 
0.55977 -0.48622 -1.30000 
0.54266 -0.49624 -1.30000 
0.52616 -0.50627 -1.30000 
0.51515 -0.51316 -1.30000 
0.50926 -0.51629 -1.30000 
0.49082 -0.52632 -1.30000 
0.47303 -0.53634 -1.30000 
0.45582 -0.54637 -1.30000 
0.45455 -0.54712 -1.30000 
0.43620 -0.55639 -1.30000 
0.41698 -0.56642 -1.30000 
0.39837 -0.57644 -1.30000 
0.39394 -0.57887 -1.30000 
0.37774 -0.58647 -1.30000 
0.35693 -0.59649 -1.30000 
0.33674 -0.60652 -1.30000 
0.33333 -0.60823 -1.30000 
0.31403 -0.61654 -1.30000 
0.29136 -0.62657 -1.30000 
0.27273 -0.63503 -1.30000 
0.26866 -0.63659 -1.30000 
0.24302 -0.64662 -1.30000 
0.21809 -0.65664 -1.30000 
0.21212 -0.65908 -1.30000 
0.18999 -0.66667 -1.30000 
0.16145 -0.67669 -1.30000 
0.15152 -0.68024 -1.30000 
0.12953 -0.68672 -1.30000 
0.09624 -0.69674 -1.30000 
0.09091 -0.69837 -1.30000 
0.05654 -0.70677 -1.30000 
0.03030 -0.71331 -1.30000 
0.01194 -0.71679 -1.30000 
-0.03030 -0.72493 -1.30000 
-0.04441 -0.72682 -1.30000 
-0.09091 -0.73310 -1.30000 
-0.14062 -0.73684 -1.30000 
-0.15152 -0.73767 -1.30000 
-0.21212 -0.73849 -1.30000 

0.16145 0.67669 -1.30000 
0.18999 0.66667 -1.30000 
0.21212 0.65908 -1.30000 
0.21809 0.65664 -1.30000 
0.24302 0.64662 -1.30000 
0.26866 0.63659 -1.30000 
0.27273 0.63503 -1.30000 
0.29136 0.62657 -1.30000 
0.31403 0.61654 -1.30000 
0.33333 0.60823 -1.30000 
0.33674 0.60652 -1.30000 
0.35693 0.59649 -1.30000 
0.37774 0.58647 -1.30000 
0.39394 0.57887 -1.30000 
0.39837 0.57644 -1.30000 
0.41698 0.56642 -1.30000 
0.43620 0.55639 -1.30000 
0.45455 0.54712 -1.30000 
0.45582 0.54637 -1.30000 
0.47303 0.53634 -1.30000 
0.49082 0.52632 -1.30000 
0.50926 0.51629 -1.30000 
0.51515 0.51316 -1.30000 
0.52616 0.50627 -1.30000 
0.54266 0.49624 -1.30000 
0.55977 0.48622 -1.30000 
0.57576 0.47719 -1.30000 
0.57725 0.47619 -1.30000 
0.59252 0.46617 -1.30000 
0.60839 0.45614 -1.30000 
0.62492 0.44612 -1.30000 
0.63636 0.43942 -1.30000 
0.64110 0.43609 -1.30000 
0.65576 0.42607 -1.30000 
0.67106 0.41604 -1.30000 
0.68708 0.40602 -1.30000 
0.69697 0.40005 -1.30000 
0.70250 0.39599 -1.30000 
0.71657 0.38596 -1.30000 
0.73133 0.37594 -1.30000 
0.74686 0.36591 -1.30000 
0.75758 0.35930 -1.30000 
0.76201 0.35589 -1.30000 
0.77550 0.34586 -1.30000 
0.78971 0.33584 -1.30000 
0.80476 0.32581 -1.30000 
0.81818 0.31736 -1.30000 
0.82014 0.31579 -1.30000 
0.83300 0.30576 -1.30000 
0.84663 0.29574 -1.30000 
0.86117 0.28571 -1.30000 
0.87677 0.27569 -1.30000 
0.87879 0.27444 -1.30000 
0.88947 0.26566 -1.30000 
0.90246 0.25564 -1.30000 
0.91642 0.24561 -1.30000 
0.93156 0.23559 -1.30000 
0.93939 0.23073 -1.30000 
0.94533 0.22556 -1.30000 
0.95752 0.21554 -1.30000 
0.97078 0.20551 -1.30000 
0.98536 0.19549 -1.30000 
1.00000 0.18639 -1.30000 
1.00098 0.18546 -1.30000 
1.01217 0.17544 -1.30000 
1.02450 0.16541 -1.30000 
1.03830 0.15539 -1.30000 
1.05404 0.14536 -1.30000 
1.06061 0.14159 -1.30000 
1.06683 0.13534 -1.30000 
1.07779 0.12531 -1.30000 
1.09037 0.11529 -1.30000 
1.10529 0.10526 -1.30000 
1.12121 0.09646 -1.30000 
1.12220 0.09524 -1.30000 
1.13096 0.08521 -1.30000 
1.14123 0.07519 -1.30000 
1.15417 0.06516 -1.30000 
1.17217 0.05514 -1.30000 
1.18182 0.05113 -1.30000 
1.18489 0.04511 -1.30000 
1.18978 0.03509 -1.30000 
1.19475 0.02506 -1.30000 
1.20213 0.01504 -1.30000 
1.24242 0.00590 -1.30000 
1.24355 0.00501 -1.30000 
1.24355 -0.00501 -1.30000 
1.24242 -0.00590 -1.30000 
1.20213 -0.01504 -1.30000 
1.19475 -0.02506 -1.30000 
1.18978 -0.03509 -1.30000 
1.18489 -0.04511 -1.30000 
1.18182 -0.05113 -1.30000 
1.17217 -0.05514 -1.30000 
1.15417 -0.06516 -1.30000 
1.14123 -0.07519 -1.30000 
1.13096 -0.08521 -1.30000 
1.12220 -0.09524 -1.30000 
1.12121 -0.09646 -1.30000 

-1.19855 0.05514 -1.30000 
-1.19401 0.06516 -1.30000 
-1.18933 0.07519 -1.30000 
-1.18448 0.08521 -1.30000 
-1.18182 0.09071 -1.30000 
-1.17651 0.09524 -1.30000 
-1.16651 0.10526 -1.30000 
-1.15788 0.11529 -1.30000 
-1.15014 0.12531 -1.30000 
-1.14302 0.13534 -1.30000 
-1.13632 0.14536 -1.30000 
-1.12990 0.15539 -1.30000 
-1.12368 0.16541 -1.30000 
-1.12121 0.16952 -1.30000 
-1.11535 0.17544 -1.30000 
-1.10616 0.18546 -1.30000 
-1.09760 0.19549 -1.30000 
-1.08953 0.20551 -1.30000 
-1.08185 0.21554 -1.30000 
-1.07447 0.22556 -1.30000 
-1.06733 0.23559 -1.30000 
-1.06061 0.24528 -1.30000 
-1.06027 0.24561 -1.30000 
-1.05072 0.25564 -1.30000 
-1.04163 0.26566 -1.30000 
-1.03292 0.27569 -1.30000 
-1.02453 0.28571 -1.30000 
-1.01640 0.29574 -1.30000 
-1.00848 0.30576 -1.30000 
-1.00074 0.31579 -1.30000 
-1.00000 0.31677 -1.30000 
-0.99100 0.32581 -1.30000 
-0.98137 0.33584 -1.30000 
-0.97204 0.34586 -1.30000 
-0.96295 0.35589 -1.30000 
-0.95409 0.36591 -1.30000 
-0.94540 0.37594 -1.30000 
-0.93939 0.38299 -1.30000 
-0.93618 0.38596 -1.30000 
-0.92562 0.39599 -1.30000 
-0.91533 0.40602 -1.30000 
-0.90526 0.41604 -1.30000 
-0.89539 0.42607 -1.30000 
-0.88569 0.43609 -1.30000 
-0.87879 0.44332 -1.30000 
-0.87550 0.44612 -1.30000 
-0.86392 0.45614 -1.30000 
-0.85256 0.46617 -1.30000 
-0.84140 0.47619 -1.30000 
-0.83041 0.48622 -1.30000 
-0.81957 0.49624 -1.30000 
-0.81818 0.49753 -1.30000 
-0.80684 0.50627 -1.30000 
-0.79404 0.51629 -1.30000 
-0.78142 0.52632 -1.30000 
-0.76896 0.53634 -1.30000 
-0.75758 0.54560 -1.30000 
-0.75644 0.54637 -1.30000 
-0.74173 0.55639 -1.30000 
-0.72722 0.56642 -1.30000 
-0.71287 0.57644 -1.30000 
-0.69867 0.58647 -1.30000 
-0.69697 0.58767 -1.30000 
-0.68203 0.59649 -1.30000 
-0.66524 0.60652 -1.30000 
-0.64860 0.61654 -1.30000 
-0.63636 0.62397 -1.30000 
-0.63118 0.62657 -1.30000 
-0.61133 0.63659 -1.30000 
-0.59164 0.64662 -1.30000 
-0.57576 0.65475 -1.30000 
-0.57125 0.65664 -1.30000 
-0.54739 0.66667 -1.30000 
-0.52369 0.67669 -1.30000 
-0.51515 0.68032 -1.30000 
-0.49627 0.68672 -1.30000 
-0.46680 0.69674 -1.30000 
-0.45455 0.70092 -1.30000 
-0.43225 0.70677 -1.30000 
-0.39406 0.71679 -1.30000 
-0.39394 0.71682 -1.30000 
-0.34094 0.72682 -1.30000 
-0.33333 0.72825 -1.30000 
-0.27273 0.73541 -1.30000 
-0.24467 0.73684 -1.30000 
-0.21212 0.73849 -1.30000 
-0.15152 0.73767 -1.30000 
-0.14062 0.73684 -1.30000 
-0.09091 0.73310 -1.30000 
-0.04441 0.72682 -1.30000 
-0.03030 0.72493 -1.30000 
0.01194 0.71679 -1.30000 
0.03030 0.71331 -1.30000 
0.05654 0.70677 -1.30000 
0.09091 0.69837 -1.30000 
0.09624 0.69674 -1.30000 
0.12953 0.68672 -1.30000 
0.15152 0.68024 -1.30000 
0.16145 0.67669 -1.30000 

-0.21212 -0.73849 -1.30000 
-0.24467 -0.73684 -1.30000 
-0.27273 -0.73541 -1.30000 
-0.33333 -0.72825 -1.30000 
-0.34094 -0.72682 -1.30000 
